NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,weight,selected
1,0,1,1,0,0,0,0,1,1,0,1,0,8,8,2,2.846911,1
0,0,0,0,0,0,0,0,1,0,0,1,1,8,8,2,2.846911,1
1,0,1,0,0,0,0,0,0,1,1,1,1,8,8,1,2.846911,1
0,0,0,0,0,0,1,0,0,0,0,1,1,22,8,0,1.1778,1
1,0,0,0,0,0,1,0,0,1,0,0,1,22,8,0,1.1778,1
0,0,1,1,0,0,1,0,0,0,0,1,0,44,160,0,1.1778,1
1,0,1,0,0,0,0,0,0,1,1,1,1,22,8,1,1.1778,1
1,1,0,0,0,0,0,1,0,0,0,0,0,22,8,0,1.65555,1
0,0,0,1,1,1,0,0,0,0,0,0,0,22,8,0,1.1778,1
0,0,0,0,1,0,0,0,0,0,0,1,1,22,8,0,1.1778,1
1,0,1,1,0,0,0,0,1,0,0,1,0,8,8,1,1.88885,1
1,1,1,0,1,0,0,0,0,1,0,1,0,22,8,0,1.88885,1
0,1,0,0,0,1,0,0,0,1,1,0,0,22,160,0,1.5333,1
0,0,0,0,0,0,0,0,1,0,0,1,1,8,8,0,2.429633,1
1,1,1,0,0,0,0,0,1,1,0,1,0,8,8,2,1.6444,1
1,0,1,1,0,0,0,0,1,1,0,1,0,8,8,0,2.22225,1
1,0,1,1,0,0,1,0,0,0,0,1,0,8,8,0,1.7556,1
0,0,1,1,0,0,1,0,0,1,0,1,0,8,8,0,1.7556,1
1,0,0,1,0,0,0,0,1,0,0,1,0,8,8,1,2.0889,1
1,0,1,0,0,0,0,0,1,1,0,1,1,8,8,0,2.0889,1
