NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,weight,selected
1,0,0,1,0,0,1,0,0,0,0,0,0,8,320,0,2.625,1
0,0,0,0,0,0,0,0,0,0,1,1,1,8,8,0,2.678571,1
0,0,0,0,0,0,1,0,0,0,0,0,1,8,160,0,2.0,1
1,1,0,0,0,0,1,0,0,1,0,0,0,22,160,0,0.75,1
1,0,0,1,0,0,0,1,0,0,0,1,0,22,8,0,0.75,1
1,0,1,0,0,1,0,0,0,1,1,0,1,8,320,0,2.5,1
1,0,0,1,0,0,0,1,0,0,0,1,0,22,8,1,0.75,1
0,0,0,0,0,0,0,0,0,0,1,1,1,8,160,0,0.75,1
1,0,1,1,0,0,0,1,0,0,0,1,0,22,8,0,0.75,1
0,0,0,0,0,1,0,0,1,0,0,0,1,22,160,0,0.75,1
1,1,1,0,1,0,0,0,0,1,0,1,0,8,160,0,2.5,1
1,1,1,0,0,1,0,0,1,1,0,1,0,8,160,0,2.5,1
1,0,1,0,0,1,0,0,0,1,1,0,1,8,8,0,2.375,1
0,0,0,0,0,0,1,0,0,0,0,0,1,8,8,0,1.5,1
1,1,1,0,0,1,0,0,1,1,0,1,0,8,8,0,1.5,1
1,1,1,0,0,1,0,0,0,1,1,1,0,8,160,0,2.25,1
0,1,1,0,0,1,0,0,0,1,1,1,0,8,160,0,2.25,1
