NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,weight,selected
0,0,0,1,0,0,0,0,0,0,1,0,0,8,8,1,2.622222,1
1,0,1,1,0,0,0,0,1,1,0,1,0,8,8,2,2.622222,1
1,0,1,0,0,0,0,0,1,1,0,0,1,8,8,0,1.85,1
0,0,1,1,0,0,0,1,0,1,0,1,0,8,8,1,0.8,1
1,1,1,0,0,0,0,1,0,1,0,1,0,22,8,1,0.8,1
1,0,0,0,0,0,0,0,1,1,0,1,1,8,8,2,0.8,1
1,0,1,1,0,0,0,1,0,1,0,1,0,22,8,1,0.8,1
1,0,1,1,0,0,0,0,1,1,0,1,0,22,8,2,0.8,1
0,0,0,0,0,0,0,1,0,1,0,0,1,8,8,0,0.8,1
1,0,1,1,1,1,0,0,0,1,0,1,0,22,320,0,0.8,1
1,1,1,0,0,0,0,0,0,1,1,1,0,8,8,0,2.2,1
1,0,1,1,0,0,0,0,1,1,0,1,0,8,8,1,2.45,1
0,0,0,1,0,0,0,0,0,0,1,0,0,8,8,2,2.45,1
0,0,0,1,0,0,1,0,0,0,0,0,0,8,160,0,2.066667,1
1,0,1,1,0,0,0,0,1,1,0,1,0,8,8,0,2.133333,1
0,0,0,1,0,0,0,0,1,1,0,1,0,8,8,1,2.133333,1
1,0,0,1,0,0,0,0,1,1,0,0,0,8,8,0,2.1,1
