encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,time
0,0,0,0,0,1,0,0,1,1,0,3.82
0,1,0,0,1,0,0,1,1,0,0,84.6
1,1,0,0,0,0,1,0,0,0,0,3.8
1,1,0,0,1,0,0,0,1,1,0,7.85
0,0,0,0,1,0,0,0,1,1,0,7.03
0,1,0,0,0,1,0,1,1,0,0,7.81
0,1,0,0,1,0,0,1,0,0,1,10.67
1,0,0,0,1,0,0,1,0,0,1,6.38
0,0,0,0,1,0,0,0,1,0,1,3.86
0,0,0,1,0,0,0,1,1,0,0,3.83
1,0,1,0,1,0,0,1,0,0,1,87.20177444174246
0,1,0,1,1,1,0,0,0,0,1,87.20437577855677
1,0,1,0,0,1,1,1,0,1,0,87.20323185978377
0,1,1,0,0,1,1,1,0,0,0,87.20698131560309
1,1,1,0,1,0,1,0,0,0,1,87.20451350330053
0,1,0,0,0,1,1,1,0,0,1,87.20155856560957
1,1,1,1,1,0,1,1,1,1,0,87.20543308075992
0,0,1,1,1,1,1,0,0,0,0,87.20105582535845
1,0,1,0,0,1,1,0,0,1,1,87.2058752905228
1,0,0,1,0,0,1,0,0,0,0,87.20223866890211
1,1,0,0,1,0,1,1,1,1,0,87.20570799862607
1,1,0,1,1,0,1,0,0,1,1,87.20267745330986
0,1,1,1,1,0,0,1,1,0,1,87.20571139564677
1,0,1,0,1,1,0,1,1,0,1,87.20620612289966
1,0,1,1,1,0,1,0,1,0,1,87.20328274594503
1,1,0,0,0,1,1,0,0,0,0,87.20113215241327
1,0,1,0,1,0,1,0,0,1,1,87.2082973043462
1,0,0,1,0,0,1,1,0,1,1,87.20429849609282
1,0,1,0,0,1,0,0,0,1,1,87.2043032658483
0,0,1,0,0,0,1,0,1,1,0,87.20655195597222
