encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,weight,selected
1,0,0,0,1,0,0,0,1,0,0,2.097207,1
1,0,0,0,1,0,0,0,1,0,1,2.520356,1
0,1,0,0,1,0,0,1,1,1,0,2.2938,1
0,1,0,1,0,0,0,1,0,0,0,2.008853,1
0,0,0,0,0,1,0,1,0,0,0,2.071104,1
1,0,0,0,0,0,1,0,1,0,0,2.126973,1
0,0,0,0,1,0,0,0,1,0,1,1.522189,1
0,1,0,1,0,0,0,1,1,1,0,2.006333,1
0,0,0,0,1,0,0,0,0,0,0,1.255517,1
1,0,0,0,0,0,1,0,0,1,0,1.713874,1
0,0,0,0,1,0,0,0,1,0,0,1.7,1
0,1,0,0,1,0,0,0,0,0,1,1.962967,1
0,0,0,0,0,0,1,0,1,0,0,2.185172,1
1,1,0,0,0,1,0,1,0,0,0,1.000033,0
0,1,0,0,1,0,0,0,1,0,1,2.066644,1
0,0,0,0,1,0,0,0,0,1,0,1.988858,1
0,0,0,0,1,0,0,0,0,0,1,1.088856,1
0,1,0,0,1,0,0,0,0,0,0,1.199967,1
0,1,0,0,1,0,0,1,1,1,1,1.7333,1
0,0,0,0,1,0,0,1,0,0,1,1.711111,1
0,0,0,0,0,1,0,1,1,1,0,1.711111,1
