encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,time
1,0,0,0,1,0,0,0,1,0,0,2.22
0,1,0,1,0,0,0,1,0,0,0,2.28
0,1,0,0,1,0,0,1,1,1,0,2.18
0,0,0,0,0,1,0,0,1,1,0,2.32
0,1,0,0,0,0,1,0,0,1,0,2.25
1,0,0,1,0,0,0,0,1,1,0,2.24
1,0,1,0,0,0,0,0,0,1,0,2.21
1,1,1,0,0,0,0,0,0,1,0,2.23
0,1,0,0,1,0,0,1,1,1,1,2.15
0,1,0,1,0,0,0,1,1,1,0,2.24
1,0,0,1,0,0,0,1,0,1,0,2.24
0,0,0,0,0,1,0,1,0,0,0,2.16
0,0,0,1,0,0,0,1,1,0,0,2.24
0,0,0,1,0,0,0,1,1,1,0,2.17
1,0,1,0,0,0,0,0,1,0,0,2.23
1,1,0,1,0,0,0,0,1,1,0,5.14
1,1,0,0,0,1,0,0,0,1,0,5.76
1,1,1,0,1,1,1,1,0,1,1,45.87118922311799
0,0,0,1,1,0,0,0,0,1,1,45.87785592152095
0,1,1,0,1,1,0,1,0,1,1,45.87717648274744
1,0,0,0,1,0,0,0,1,0,0,2.22
0,1,0,0,0,0,1,0,0,1,0,2.25
0,1,0,0,1,0,0,1,1,1,1,2.15
1,0,1,0,0,0,0,0,1,0,0,2.23
0,1,0,1,0,0,0,1,0,0,0,2.28
1,0,0,1,0,0,0,0,1,1,0,2.24
0,1,0,1,0,0,0,1,1,1,0,2.24
1,1,1,0,0,0,0,0,0,1,0,2.23
0,0,0,0,0,1,0,0,1,1,0,2.32
0,0,0,1,0,0,0,1,1,1,0,2.17
0,0,1,0,1,1,0,1,0,0,0,45.875605014544774
0,1,0,0,1,1,0,1,1,1,0,45.8739263096712
0,1,1,0,0,0,0,1,1,1,0,2.87
1,0,1,0,1,0,0,1,1,1,1,45.871691549601664
0,1,0,0,0,1,0,1,0,0,0,5.75
1,1,0,1,0,0,0,0,1,0,0,5.75
1,0,0,0,0,0,0,0,1,0,1,45.87752366640546
1,0,0,0,0,0,0,0,1,1,1,45.87781072028252
1,1,0,0,1,0,0,1,1,0,0,5.17
1,0,1,0,0,1,0,1,0,0,0,45.87891620323718
0,0,1,0,0,0,0,0,1,0,0,2.69
1,1,1,0,0,0,0,1,1,1,0,5.72
0,1,0,0,1,1,0,0,0,0,0,45.871626757796015
1,0,0,0,1,0,1,0,1,0,0,45.875511068275614
1,0,0,0,0,0,0,1,0,1,0,45.87275467208015
0,0,1,0,0,1,0,1,1,0,0,45.87601873149158
0,0,0,1,0,0,0,0,0,1,1,45.87441436774108
0,1,0,0,1,1,0,0,1,1,1,45.873330564643354
1,0,1,0,0,0,0,1,0,0,0,5.22
1,0,0,1,1,0,0,1,0,1,0,45.87451998786191
1,0,1,0,1,1,0,1,1,1,0,45.87777447443283
0,1,0,0,0,0,0,0,1,0,0,45.87401828936104
0,0,0,1,1,0,0,1,1,0,0,45.871962412046
1,0,0,0,1,0,0,0,0,1,1,5.22
0,1,0,0,1,0,0,0,0,1,0,4.11
1,0,0,1,1,0,1,1,1,0,0,45.874187477541746
0,1,0,0,1,0,0,0,1,0,0,4.0
1,0,0,0,1,0,0,0,1,1,0,36.11
0,0,0,0,1,0,0,0,1,1,0,5.37
1,0,1,0,0,1,0,0,1,0,0,45.87533212567408
0,0,0,1,0,0,0,0,1,1,0,5.41
1,0,1,1,0,0,0,0,1,1,0,45.878008667546986
1,0,1,1,0,0,0,0,1,0,0,45.878754303714025
1,1,0,0,0,0,0,1,0,0,1,45.87573593430301
1,0,0,1,0,0,0,0,1,0,0,5.25
1,0,1,1,1,0,0,1,1,0,0,45.87475625648107
0,0,0,0,1,0,0,1,1,1,1,3.99
0,1,0,1,0,0,0,1,1,0,1,45.87521416654035
1,1,1,0,1,0,0,1,1,1,0,45.87822452574184
1,1,0,0,0,0,0,0,0,1,0,45.87838046433315
1,1,0,1,0,0,0,1,0,1,0,5.71
1,0,1,0,0,1,1,1,0,0,0,45.87412553835002
0,0,0,0,1,0,0,1,1,0,0,5.35
1,0,1,1,0,0,0,1,1,0,0,45.87360548170596
0,0,0,0,1,0,0,0,0,1,0,2.22
1,0,1,0,0,0,0,0,1,1,0,17.92
1,0,0,1,0,0,0,1,1,0,0,5.44
0,1,0,0,1,0,1,1,1,1,1,45.87400181331462
1,1,1,0,1,0,0,0,1,1,1,45.87772411786607
0,0,1,0,0,0,0,0,0,1,0,41.28
0,1,0,0,1,0,0,1,0,1,0,5.38
0,1,1,0,1,0,1,1,1,1,1,45.87134226881336
0,1,0,0,1,0,0,0,1,1,0,41.63
1,1,1,0,0,0,0,1,0,1,0,7.16
1,1,1,0,0,0,0,0,0,1,1,45.876942965845394
0,1,0,1,0,0,1,1,1,1,1,45.87587238713592
1,1,1,0,0,0,0,0,1,0,0,2.82
1,0,0,1,0,0,0,0,0,1,0,5.35
1,0,1,0,0,1,0,0,0,1,0,45.87605251721904
0,1,0,0,1,0,1,1,0,0,0,45.8774962733273
