iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,weight,selected
0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,10,1.266667,1
0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,10,1.266667,1
0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,10,2.505525,1
0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,10,1.266667,1
0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,10,1.855533,1
0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,10,1.266667,1
0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,10,1.266667,1
0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,90,1.266667,1
0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,90,2.52775,1
0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,10,1.266667,1
0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,90,2.155517,1
0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,90,2.155517,1
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,90,2.155517,1
0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,90,2.155517,1
0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,90,1.4444,1
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,90,2.155517,1
0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,90,1.866633,1
0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,90,1.866633,1
