encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,weight,selected
1,0,0,0,1,0,0,0,1,0,0,2.175,1
0,0,0,0,0,1,0,0,0,0,0,2.175,1
0,1,0,1,0,0,0,1,1,1,0,1.842593,1
1,0,0,0,0,0,1,1,0,0,0,1.787037,1
1,0,0,0,1,0,0,0,1,0,1,2.166667,1
0,1,0,1,0,0,0,1,0,0,0,2.308333,1
0,0,0,0,0,1,0,0,1,1,0,1.775,1
0,0,0,0,1,0,0,1,1,0,1,0.944444,1
0,0,0,0,0,1,0,1,0,1,0,1.0,1
1,1,0,0,0,1,0,0,1,0,0,0.916667,0
0,1,0,0,1,0,0,1,1,0,1,1.986111,1
0,1,0,0,1,0,0,0,1,0,1,2.111111,1
0,0,0,0,1,0,0,0,0,1,0,1.986111,1
0,1,0,0,1,0,0,0,0,0,1,1.083333,1
0,0,0,0,0,1,0,0,0,1,0,1.729167,1
0,1,0,0,0,1,0,0,0,0,0,1.75,1
0,1,0,0,1,0,0,1,1,1,0,2.083333,1
0,0,0,0,0,1,0,1,1,1,0,1.25,1
0,0,0,0,0,1,0,0,1,0,0,1.833333,1
1,1,0,0,0,1,0,1,0,0,0,1.625,1
1,1,0,0,0,1,0,0,0,0,0,1.375,1
