encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,weight,selected
0,0,1,0,0,0,0,1,1,1,0,2.428571,1
1,0,0,0,1,0,0,0,1,0,0,2.428571,1
0,0,0,0,1,0,0,1,1,0,1,1.285714,0
0,0,0,0,1,0,0,0,0,0,0,2.428571,1
1,1,0,0,1,0,0,0,0,1,0,1.285714,0
0,1,0,0,1,0,0,0,0,0,0,2.571429,1
0,0,0,0,0,1,0,1,1,1,0,1.285714,0
1,0,0,0,1,0,0,0,1,0,1,2.857143,1
0,1,0,0,1,0,0,0,1,0,1,3.0,1
0,0,0,0,0,1,0,0,0,1,0,2.0,1
1,1,0,0,0,1,0,0,0,0,0,2.285714,1
0,1,0,0,1,0,0,1,1,1,1,1.857143,0
0,0,0,0,0,1,0,0,0,0,0,2.285714,1
0,0,0,0,1,0,0,0,0,1,0,2.285714,1
1,1,0,0,1,0,0,0,0,0,0,2.0,1
0,1,1,0,0,0,0,1,0,0,0,2.142857,1
0,0,0,0,1,0,0,0,1,0,0,2.285714,1
0,0,0,0,0,1,0,0,1,0,0,1.857143,1
0,1,0,0,1,0,0,0,0,0,1,1.857143,1
0,0,0,0,0,1,0,0,1,1,0,1.857143,1
0,0,0,0,1,0,0,1,0,0,1,2.285714,1
0,0,0,0,1,0,0,0,0,0,1,2.285714,1
0,1,0,0,1,0,0,1,1,1,0,2.142857,1
0,0,0,0,1,0,0,0,1,0,1,2.142857,1
