iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,weight,selected
0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,10,1.614286,1
0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,10,0.3,0
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,90,1.125,0
0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,10,0.3,0
0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,90,1.06,0
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10,0.3,0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,90,1.666667,1
0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,90,0.95,0
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,90,0.65,0
0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,10,0.3,0
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,90,2.12,1
0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,90,1.45,1
1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,90,1.35,1
1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,90,1.1,0
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,90,1.266667,0
0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,90,1.45,1
0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,90,0.6,0
0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,90,0.6,0
0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,90,0.6,0
0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,90,0.6,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,90,1.4,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,90,1.25,0
0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,90,1.2,0
0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,90,1.0,0
0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,90,1.0,0
0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,90,1.0,0
1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,90,1.0,0
0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,90,1.0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,90,2.16,1
0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,90,2.16,1
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,90,2.15,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,90,1.35,0
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,90,2.0,1
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,10,1.75,1
0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,90,1.933333,1
0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,10,1.1,0
0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,90,1.933333,1
0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,90,2.1,1
0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,90,2.05,1
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,90,1.95,1
0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,90,1.9,1
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,90,1.9,1
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,10,1.6,1
