iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,weight,selected
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,90,2.196814,1
1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,90,1.859507,1
1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,90,2.312162,1
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,90,1.63491,1
0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,90,1.171395,0
1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,10,1.329119,0
0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,90,1.777767,1
0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,90,1.019014,0
0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,90,2.019014,1
0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,90,1.329119,0
1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,90,0.961871,0
0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,90,0.961871,0
0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,90,0.961871,0
0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,90,2.288079,1
0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,90,2.288079,1
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,10,1.127029,0
0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,90,1.127029,0
0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,90,1.127029,0
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,90,1.127029,0
1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,90,1.8,1
0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,90,2.326979,1
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,90,2.048681,1
1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,90,1.514286,1
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,90,1.887307,1
1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,90,1.6889,1
1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,90,1.6889,1
1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,90,1.6889,1
1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,90,1.996814,1
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,90,1.6889,1
0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,90,1.876157,1
1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,90,1.876157,1
