NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,weight,selected
1,1,1,0,0,0,0,0,0,1,1,1,0,8,8,0,2.577778,1
1,0,1,1,0,0,0,0,0,1,1,1,0,8,8,0,2.577778,1
1,1,1,0,0,1,0,0,0,0,1,1,0,8,160,0,2.625,1
0,1,0,0,0,0,0,1,0,0,0,1,0,22,8,2,1.7,1
1,0,0,1,0,0,0,1,0,0,0,1,0,44,8,0,1.2,1
1,0,1,1,0,0,0,0,1,1,0,1,0,44,8,2,1.2,1
1,1,1,0,0,0,0,1,0,0,0,0,0,44,8,1,1.2,1
0,0,0,0,0,0,0,1,0,0,0,0,1,22,8,2,1.2,1
0,0,1,1,0,0,0,0,1,0,0,1,0,44,8,0,1.2,1
0,0,1,1,0,0,0,1,0,0,0,1,0,44,8,0,1.2,1
1,1,1,0,0,0,0,0,0,1,1,1,0,8,8,2,2.066667,1
0,0,0,0,1,0,0,0,0,1,0,1,1,8,8,1,1.6,1
0,0,0,0,0,0,0,0,0,0,1,0,1,22,8,1,1.6,1
1,1,1,0,0,0,0,0,0,1,1,1,0,8,8,1,2.0,1
1,1,1,0,0,1,0,0,0,1,1,1,0,8,8,0,1.8,1
1,0,1,1,0,0,0,0,0,1,1,1,0,8,8,1,2.0,1
1,1,1,0,0,1,0,0,0,1,1,1,0,8,160,0,1.7,1
1,0,0,1,0,0,0,1,0,0,0,1,0,8,8,0,1.4,1
