iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,weight,selected
0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,10,1.044433,0
0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,10,1.044433,0
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,90,2.14815,1
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,90,2.435547,1
0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,90,1.044433,0
0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,90,2.044433,1
0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,90,2.133313,1
0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,10,1.044433,0
0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,10,1.044433,0
0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,10,1.044433,0
0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,90,2.333325,1
1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,90,2.333325,1
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,90,1.3222,0
0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,10,1.3222,0
0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,90,1.644433,1
1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,10,1.84445,1
0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10,1.3222,0
0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,90,1.466667,0
0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,90,2.285167,1
0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,90,1.700033,1
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,90,2.3074,1
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,90,2.3074,1
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,90,1.700033,1
1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,90,1.700033,1
0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,90,1.8444,1
0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,90,2.111083,1
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,90,2.111083,1
0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,90,1.877767,1
0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,90,1.877767,1
0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,90,1.877767,1
