encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,weight,selected
0,1,0,0,1,0,0,1,1,1,0,2.506492,1
0,0,0,0,0,0,1,0,1,0,0,2.30723,1
0,0,0,0,0,1,0,0,0,0,0,2.49945,1
0,1,0,0,1,0,0,1,1,0,1,1.965486,1
0,0,0,0,0,1,0,0,1,1,0,1.935,1
0,0,0,0,1,0,0,0,0,1,1,0.8722,1
1,0,0,0,0,0,1,0,1,0,0,2.30723,1
0,1,0,1,0,0,0,1,1,1,0,2.208338,1
0,0,0,0,1,0,0,1,1,0,1,0.8722,1
0,0,0,1,0,0,0,1,1,1,0,1.96112,1
0,1,0,0,1,0,0,0,1,0,1,1.8778,1
0,1,0,0,0,1,0,0,0,0,0,1.991675,1
0,1,0,0,1,0,0,0,0,0,1,1.3278,1
0,0,0,0,0,1,0,1,0,1,0,1.6361,1
0,1,0,0,1,0,0,0,0,0,0,1.6361,1
