encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,weight,selected
0,0,0,0,0,1,0,0,1,1,0,0.911133,1
0,0,0,0,1,0,0,0,0,0,1,1.4704,1
0,0,0,0,0,1,0,1,0,1,0,0.911133,1
0,1,0,0,1,0,0,0,0,0,0,1.8148,1
0,0,0,1,0,0,0,1,1,0,0,2.511095,1
1,1,0,0,1,0,0,0,0,0,1,1.71112,1
0,0,0,0,1,0,0,0,0,0,0,1.4704,1
0,0,0,0,0,1,0,0,1,0,0,2.66189,1
1,0,0,0,1,0,0,1,1,0,0,0.911133,1
0,0,0,0,0,1,0,1,1,0,0,0.911133,1
1,0,0,1,0,0,0,1,0,1,0,2.538867,1
1,0,0,0,1,0,0,0,1,0,0,2.538867,1
1,0,0,0,1,0,0,0,1,0,1,1.87775,1
1,1,0,0,1,0,0,0,0,0,0,2.155533,1
0,1,0,0,1,0,0,1,1,1,0,2.033317,1
0,1,0,0,1,0,0,0,1,0,1,2.472217,1
0,0,0,0,0,1,0,0,0,0,0,2.499992,1
1,1,0,0,0,1,0,0,0,0,0,2.077783,1
0,0,0,0,1,0,0,1,0,0,1,1.955567,1
0,1,0,1,0,0,0,1,1,1,0,2.211083,1
