NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,weight,selected
0,1,1,0,0,0,0,0,0,0,1,0,0,8,160,0,2.222222,1
1,0,1,1,0,1,0,0,1,1,0,1,0,8,8,0,2.666667,1
1,1,1,0,0,1,0,0,0,1,1,1,0,22,8,0,1.333333,1
1,0,1,1,0,1,0,1,0,1,0,1,0,8,160,0,2.166667,1
0,0,0,0,0,0,0,0,0,0,1,1,1,22,8,0,1.333333,1
0,0,0,0,0,0,0,0,0,0,1,0,1,22,8,0,1.333333,1
1,0,1,0,0,1,0,1,0,1,0,1,1,22,160,0,1.333333,1
1,0,1,1,0,1,0,1,0,1,0,1,0,44,320,0,1.333333,1
1,1,1,0,0,1,0,0,0,1,1,1,0,48,320,0,1.333333,1
1,0,1,0,1,1,0,0,0,0,0,1,1,22,8,0,1.333333,1
0,1,0,0,0,0,0,1,0,0,0,0,0,8,320,0,2.333333,1
1,0,1,1,1,1,0,0,0,1,0,1,0,8,160,0,2.333333,1
1,0,1,1,0,1,0,0,0,1,1,1,0,8,160,0,2.333333,1
1,0,1,0,0,1,0,0,1,1,0,1,1,8,8,0,2.333333,1
1,0,1,0,0,1,0,0,0,1,1,1,1,8,160,0,2.0,1
1,0,1,1,0,0,0,0,1,1,0,1,0,8,8,2,1.666667,1
1,0,1,1,0,0,0,1,0,1,0,1,0,8,8,0,1.666667,1
1,1,1,0,0,1,1,0,0,1,0,1,0,22,160,0,1.666667,1
1,0,1,1,1,1,0,0,0,0,0,1,0,8,160,0,1.666667,1
