encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,time
1,0,0,0,1,0,0,0,1,0,0,10.19
1,0,0,0,1,0,0,0,1,0,1,10.16
0,0,0,0,0,0,1,0,1,0,0,10.16
0,1,0,0,0,0,1,0,0,1,0,10.17
0,1,1,0,0,0,0,1,0,0,0,10.27
1,0,0,0,0,0,1,0,0,1,0,10.33
0,1,0,1,0,0,0,1,1,1,0,8.97
0,0,0,0,0,1,0,0,1,0,0,9.94
0,1,0,1,0,0,0,1,0,0,0,8.85
0,0,0,0,1,0,0,0,1,0,0,9.33
1,0,0,0,0,1,0,0,0,1,0,13.54
1,0,1,0,0,0,0,0,1,1,0,162.42
0,1,0,1,0,0,0,1,0,1,0,15.16
0,0,0,0,0,0,1,1,1,1,0,179.0
0,1,1,0,0,0,0,1,0,1,0,15.24
0,1,0,0,1,0,0,1,1,0,1,10.43
0,1,0,0,1,0,0,0,0,1,0,25.21
1,1,0,0,1,1,1,1,0,1,0,314.9826001270976
0,1,1,1,0,0,0,1,0,1,1,314.9821883400664
0,0,1,0,1,0,0,0,1,1,1,314.98413243716
0,1,1,0,0,0,0,1,0,0,0,10.27
0,0,0,0,0,0,1,0,1,0,0,10.16
1,0,0,0,1,0,0,0,1,0,1,10.16
0,1,0,0,0,0,1,0,0,1,0,10.17
1,0,0,0,1,0,0,0,1,0,0,10.19
0,1,0,1,0,0,0,1,0,1,0,15.16
0,1,1,0,0,0,0,1,0,1,0,15.24
0,0,0,0,0,0,1,1,1,1,0,179.0
1,0,1,0,0,0,0,0,1,1,0,162.42
1,0,0,0,0,1,0,0,0,1,0,13.54
0,0,0,1,0,1,0,0,1,0,1,314.9847951277484
1,0,0,0,1,0,1,0,1,0,0,314.98850770582834
1,0,0,0,0,1,0,0,1,0,1,314.9825441179275
0,1,0,0,0,0,0,0,1,0,0,314.98818945346164
0,0,0,0,1,0,0,1,0,0,0,23.62
0,1,1,0,0,0,0,0,1,0,0,165.92
0,1,1,0,0,0,0,1,0,0,1,314.9870155908785
0,0,0,1,0,1,1,1,0,0,1,314.98325638134065
0,1,0,0,0,0,1,0,1,0,0,185.92
0,1,0,1,1,0,0,1,0,0,0,314.9872961421183
0,0,0,0,0,0,0,0,1,1,0,314.9866190598585
0,1,1,1,0,0,0,0,0,0,0,314.98817600933404
0,1,0,0,0,0,0,0,1,0,1,314.9836037166171
0,0,0,0,1,0,0,0,1,0,1,10.31
0,1,0,0,0,0,1,1,1,0,1,314.984438377549
0,1,0,0,0,0,0,1,0,1,0,314.9873172824624
1,0,0,0,1,0,0,1,1,1,0,18.76
1,0,0,0,1,1,0,0,1,0,0,314.985058365413
0,0,0,0,0,0,0,0,1,0,1,314.9840181339932
0,1,0,0,1,0,1,0,1,0,0,314.98595423370415
