NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,weight,selected
1,0,1,0,0,1,1,0,0,1,0,1,1,8,320,0,1.555567,1
0,0,0,0,0,0,0,0,0,0,1,1,1,8,8,0,2.87114,1
0,0,0,0,0,0,0,0,0,0,1,1,1,8,8,2,2.87114,1
1,0,1,1,0,0,0,1,0,0,0,1,0,8,8,1,2.207433,1
1,0,1,1,0,0,1,0,0,0,0,0,0,22,160,0,1.555567,1
0,0,1,1,1,1,0,0,0,1,0,1,0,8,160,0,2.87114,1
0,0,0,1,1,0,0,0,0,0,0,0,0,8,8,0,1.555567,1
0,0,1,1,1,0,0,0,0,1,0,1,0,8,8,0,1.555567,1
0,0,0,0,0,0,0,0,0,0,1,1,1,8,160,0,1.555567,1
1,0,0,1,0,0,0,1,0,0,0,1,0,44,8,0,1.555567,1
1,0,0,1,0,0,0,1,0,0,0,1,0,8,8,1,2.533367,1
0,0,0,0,0,0,0,0,0,0,1,0,1,8,8,0,1.8667,1
1,0,1,1,1,1,0,0,0,1,0,0,0,8,8,0,2.200033,1
0,0,0,0,0,0,0,0,0,0,1,0,1,8,8,1,2.200033,1
0,0,1,1,1,1,0,0,0,1,0,1,0,8,8,0,2.200033,1
