NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,weight,selected
0,1,0,0,0,0,1,0,0,0,0,0,0,8,8,1,2.622222,1
0,0,0,1,0,0,1,0,0,0,0,0,0,22,8,1,0.8,0
0,1,0,0,1,0,0,0,0,0,0,0,0,8,8,0,2.05,1
0,1,0,0,0,0,0,0,1,0,0,0,0,8,320,0,0.8,0
0,1,1,0,0,0,1,0,0,1,0,0,0,44,8,1,0.8,1
0,0,0,1,0,0,0,0,0,0,1,0,0,44,8,2,0.8,1
0,1,1,0,0,0,0,0,1,1,0,0,0,22,8,1,0.8,1
1,0,0,1,0,0,1,0,0,1,0,0,0,48,8,0,0.8,1
0,1,0,0,1,0,0,0,0,0,0,0,0,22,8,2,0.8,1
1,0,0,0,1,1,0,0,0,1,0,1,1,22,8,0,0.8,1
0,1,0,0,0,0,0,0,1,0,0,0,0,8,8,2,2.45,1
0,1,0,0,1,0,0,0,0,0,0,0,0,8,8,1,2.45,1
0,1,0,0,1,0,0,0,0,0,0,0,0,8,320,0,2.1,1
0,1,0,0,0,0,1,0,0,0,0,0,0,8,160,0,2.45,1
0,0,0,1,0,0,1,0,0,0,0,0,0,8,160,0,1.4,1
0,1,0,0,0,0,1,0,0,0,0,0,0,8,8,2,1.4,1
1,0,0,1,0,0,1,0,0,1,0,0,0,8,8,0,1.0,1
0,1,0,0,0,0,0,1,0,0,0,0,0,8,8,0,2.266667,1
0,0,0,1,0,0,1,0,0,0,0,0,0,8,8,0,1.0,1
0,1,0,0,0,0,0,0,0,0,1,0,0,8,8,2,2.3,1
0,1,0,0,0,0,1,0,0,0,0,0,0,8,8,0,2.3,1
0,1,0,0,0,0,0,0,1,0,0,0,0,8,8,0,2.3,1
