NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,weight,selected
1,1,1,0,0,1,0,1,0,1,0,1,0,8,8,0,2.571429,1
1,1,1,0,1,1,0,0,0,1,0,1,0,8,320,0,2.571429,1
0,0,0,1,0,0,0,0,1,1,0,1,0,22,8,0,2.25,1
0,0,0,1,0,0,0,0,1,1,0,1,0,22,8,1,1.833333,1
1,0,0,1,0,0,0,0,1,1,0,0,0,22,8,0,1.5,1
1,0,0,0,0,1,1,0,0,1,0,1,1,44,320,0,1.5,1
0,0,0,0,0,0,1,0,0,1,0,1,1,22,8,2,1.5,1
1,1,0,0,0,0,0,1,0,1,0,0,0,48,8,0,1.5,1
0,0,0,0,0,0,0,1,0,0,0,1,1,22,8,2,1.5,1
1,0,0,0,0,1,0,1,0,1,0,1,1,22,160,0,1.5,1
1,0,1,0,1,1,0,0,0,1,0,1,1,8,8,0,2.25,1
1,1,0,0,0,0,1,0,0,1,0,1,0,22,8,0,1.875,1
1,0,1,0,0,1,0,0,0,1,1,0,1,8,320,0,1.5,1
0,0,0,1,0,0,0,0,1,1,0,1,0,8,8,1,1.875,1
1,0,0,0,1,1,0,0,0,1,0,1,1,8,8,0,1.5,1
1,1,1,0,1,1,0,0,0,1,0,0,0,8,8,0,1.875,1
1,1,1,0,1,1,0,0,0,1,0,1,0,8,8,0,1.5,1
0,0,0,1,0,0,0,0,1,1,0,1,0,8,8,0,1.5,1
1,1,0,0,1,1,0,0,0,1,0,1,0,8,320,0,1.5,1
