NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,weight,selected
0,1,0,0,0,0,1,0,0,0,0,0,0,22,8,1,2.3,1
0,0,0,1,0,0,0,1,0,1,0,1,0,22,8,1,1.2,1
1,1,0,0,0,0,0,0,0,1,1,1,0,22,8,1,2.12,1
1,1,0,0,0,0,0,0,0,1,1,1,0,22,8,0,2.433333,1
0,0,1,0,0,0,0,0,1,0,0,0,1,22,8,1,0.6,1
0,0,1,1,0,0,0,1,0,1,0,1,0,22,8,1,0.6,1
0,1,1,0,0,0,0,0,1,1,0,0,0,22,8,1,0.6,1
0,1,1,0,0,0,0,1,0,0,0,0,0,22,8,2,0.6,0
0,0,0,1,0,0,0,0,0,0,1,0,0,22,160,0,0.6,1
0,0,0,1,0,0,0,1,0,0,0,1,0,22,8,2,0.6,1
0,1,0,0,0,0,1,0,0,0,0,0,0,8,160,0,2.5,1
1,1,1,0,1,1,0,0,0,1,0,1,0,8,160,0,2.5,1
0,0,0,1,0,0,1,0,0,0,0,0,0,22,8,2,1.2,1
0,0,0,1,0,0,1,0,0,0,0,0,0,22,8,1,1.2,1
0,0,1,1,0,1,0,0,0,1,1,1,0,8,320,0,2.5,1
1,1,1,0,0,0,0,0,1,1,0,0,0,22,8,2,2.5,1
1,1,1,0,0,0,1,0,0,1,0,0,0,22,8,0,1.2,1
0,1,0,0,0,0,1,0,0,0,0,0,0,8,8,1,2.333333,1
0,1,0,0,0,1,1,0,0,0,0,0,0,8,160,0,1.8,1
1,1,1,0,0,0,0,0,0,1,1,0,0,22,8,1,1.8,1
0,1,0,0,0,1,0,0,0,0,1,0,0,8,320,0,1.6,1
