encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,weight,selected
0,0,0,1,0,0,0,1,1,1,0,1.3889,1
0,1,0,1,0,0,0,1,1,1,0,1.3889,1
0,1,0,1,0,0,0,1,0,0,0,2.840733,1
0,1,0,0,1,0,0,1,1,1,1,2.33554,1
0,0,0,0,0,1,0,0,1,0,0,2.8311,1
0,1,0,0,1,0,0,1,1,1,0,2.838875,1
0,0,0,0,1,0,0,1,1,0,1,1.3889,1
1,1,0,0,1,0,0,0,0,0,1,1.3889,1
0,0,0,0,0,1,0,0,1,1,0,2.35555,1
0,0,0,0,0,1,0,0,0,1,0,1.5944,1
0,0,0,0,1,0,0,1,0,0,1,2.337,1
0,1,0,0,1,0,0,1,1,0,1,1.5944,1
0,0,0,0,0,1,0,0,0,0,0,2.5722,1
0,1,0,0,0,1,0,0,0,0,0,2.3111,1
1,0,1,0,0,0,0,0,0,1,0,1.8,1
0,1,0,0,1,0,0,0,0,0,0,2.0722,1
1,0,0,0,0,0,1,1,0,0,0,2.0722,1
1,1,0,0,0,1,0,0,0,0,0,2.0722,1
