iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,weight,selected
0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,90,2.60778,1
0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,10,1.807433,1
0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,90,1.807433,1
0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,90,1.3667,0
0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,90,1.3667,0
0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,90,1.3667,0
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,90,1.3667,0
0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,90,1.3667,0
0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,90,1.3667,1
0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,90,1.3667,1
0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,10,1.5278,1
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,90,2.579633,1
0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,90,1.5278,1
0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,90,2.579633,1
0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,90,2.05,1
0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,90,1.5278,1
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,90,1.8222,1
0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,90,1.8222,1
0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,90,2.35555,1
0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,90,2.35555,1
0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,90,1.8222,1
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,90,2.1389,1
0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,90,2.1389,1
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,90,2.1389,1
0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,90,2.1389,1
