NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,weight,selected
1,0,0,1,0,0,0,1,0,0,0,1,0,8,8,1,2.879386,1
0,0,0,0,0,0,0,0,0,0,1,0,1,8,160,0,1.8667,1
1,0,0,1,0,0,0,1,0,1,0,0,0,22,8,1,1.8667,1
0,0,1,0,1,1,0,0,0,1,0,1,1,8,8,0,1.3667,0
0,0,0,0,0,1,0,0,0,0,1,0,1,8,160,0,1.3667,1
1,1,1,0,0,0,1,0,0,1,0,1,0,22,8,1,2.175967,1
0,0,0,0,1,0,0,0,0,0,0,0,1,22,8,2,1.3667,1
0,0,0,0,0,0,0,0,0,0,1,0,1,22,8,0,1.3667,1
1,0,1,0,0,1,0,1,0,1,0,1,1,22,320,0,1.3667,1
0,0,0,0,1,0,0,0,0,0,0,0,1,22,8,0,1.3667,1
0,1,0,0,0,0,0,0,0,0,1,0,0,8,8,1,2.16115,1
0,1,0,0,0,0,1,0,0,0,0,1,0,8,8,0,2.6315,1
1,1,0,0,0,1,0,0,1,1,0,1,0,8,320,0,2.6315,1
1,0,0,1,0,0,0,1,0,1,0,0,0,8,8,0,2.6315,1
1,0,0,0,1,1,0,0,0,1,0,1,1,8,8,0,2.16115,1
1,0,0,0,0,0,1,0,0,0,0,0,1,8,8,0,1.9556,1
0,1,0,0,0,0,0,1,0,0,0,0,0,8,8,1,2.0722,1
0,1,0,0,0,0,1,0,0,0,0,0,0,8,8,0,2.0722,1
0,1,0,0,0,0,0,0,0,0,1,0,0,8,160,0,2.0722,1
1,0,0,1,0,0,1,0,0,0,0,1,0,8,8,0,2.0722,1
0,0,0,0,0,0,0,0,0,0,1,0,1,8,8,1,2.0722,1
