NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,weight,selected
0,0,0,0,0,0,0,0,0,0,1,1,1,8,8,0,2.571429,1
0,0,1,0,0,0,0,0,1,1,0,1,1,22,8,1,1.666667,1
0,0,0,1,0,1,0,0,0,1,1,0,0,22,160,0,2.083333,1
1,0,1,0,0,0,0,0,1,1,0,1,1,22,8,1,1.75,1
1,0,1,0,0,1,1,0,0,1,0,1,1,22,160,0,2.3125,1
1,0,0,0,0,0,0,0,1,1,0,1,1,22,8,0,1.5,1
1,0,1,0,1,0,0,0,0,0,0,1,1,22,8,1,1.5,1
1,0,0,0,0,0,0,0,1,1,0,1,1,22,8,1,1.5,1
1,0,1,0,0,1,1,0,0,0,0,1,1,22,320,0,1.5,1
0,0,0,0,0,0,0,0,0,0,1,1,1,48,320,0,1.5,1
1,0,1,0,0,1,1,0,0,1,0,1,1,8,8,0,2.25,1
1,0,1,0,0,1,1,0,0,1,0,1,1,8,160,0,2.25,1
1,0,0,0,0,0,1,0,0,0,0,0,1,22,8,0,1.875,1
0,0,0,0,0,0,0,0,0,0,1,0,1,8,8,1,2.0,1
1,0,0,0,0,0,0,0,0,0,1,0,1,8,8,0,1.75,1
0,0,0,1,0,0,0,0,1,1,0,1,0,22,8,1,2.0,1
0,0,0,1,0,0,0,1,0,1,0,1,0,22,8,0,2.0,1
1,0,1,0,0,0,0,0,1,1,0,1,1,8,8,1,1.5,1
