NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,weight,selected
0,1,0,0,0,0,0,0,0,0,1,0,0,8,160,0,2.61222,1
0,0,0,1,0,0,1,0,0,1,0,1,0,8,8,1,2.8635,1
1,1,1,0,0,1,0,0,0,1,1,1,0,8,160,0,2.8635,1
1,1,0,0,0,1,0,0,0,1,1,1,0,8,160,0,2.61222,1
0,0,1,1,0,0,1,0,0,1,0,1,0,8,8,0,2.37114,1
1,0,1,1,0,0,0,0,1,0,0,1,0,8,8,1,1.3889,1
0,0,1,1,1,0,0,0,0,1,0,1,0,8,8,1,1.3889,1
1,1,0,0,0,0,1,0,0,1,0,0,0,48,8,0,1.3889,1
0,0,1,1,0,0,1,0,0,1,0,0,0,22,160,0,1.3889,1
1,0,1,1,1,0,0,0,0,1,0,1,0,22,8,1,1.3889,1
0,0,0,0,0,0,0,0,1,0,0,1,1,8,8,0,1.6167,1
1,0,1,1,0,1,0,0,0,1,1,1,0,8,8,0,2.35555,1
0,0,1,1,0,0,1,0,0,1,0,1,0,8,8,1,1.8667,1
1,0,1,1,0,1,0,0,1,1,0,1,0,8,8,0,2.35555,1
