NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,weight,selected
1,1,1,0,0,0,0,0,1,0,0,1,0,44,8,1,2.68332,1
0,0,1,0,0,1,1,0,0,1,0,1,1,8,320,0,2.907914,1
1,0,1,1,0,0,0,1,0,0,0,1,0,22,8,0,1.903667,1
0,0,0,1,1,0,0,0,0,1,0,0,0,22,8,2,2.0944,1
1,0,1,1,0,0,0,1,0,0,0,1,0,22,8,2,1.3444,1
0,0,0,1,0,0,0,1,0,0,0,1,0,22,8,1,1.3444,1
1,0,1,0,1,0,0,0,0,1,0,1,1,22,8,1,1.3444,1
0,0,0,1,0,0,1,0,0,1,0,0,0,22,8,0,1.3444,1
0,0,1,0,1,0,0,0,0,1,0,1,1,22,8,1,1.3444,1
1,0,0,0,1,0,0,0,0,1,0,1,1,22,8,1,1.3444,1
1,0,1,0,0,1,1,0,0,1,0,1,1,8,320,0,2.6685,1
1,0,1,1,0,0,0,0,1,1,0,1,0,22,8,0,2.13885,1
1,0,1,1,0,0,0,1,0,1,0,1,0,22,8,1,2.13885,1
1,1,1,0,0,0,0,0,1,0,0,1,0,44,8,2,2.45555,1
1,1,1,0,0,0,0,1,0,1,0,1,0,8,8,1,2.4111,1
1,0,1,1,0,0,0,0,1,1,0,1,0,22,8,2,1.8444,1
1,0,1,0,0,1,1,0,0,1,0,0,1,8,320,0,2.4111,1
0,1,0,0,0,0,0,0,1,0,0,0,0,8,8,1,2.2278,1
1,0,1,0,0,1,1,0,0,0,0,1,1,8,320,0,2.2278,1
