NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,weight,selected
1,0,1,0,0,0,0,1,0,1,0,1,1,8,8,1,2.607143,1
1,1,1,0,0,0,0,1,0,1,0,1,0,22,8,1,2.541667,1
0,1,0,0,0,0,1,0,0,0,0,0,0,22,8,0,2.5,1
1,1,1,0,0,0,1,0,0,1,0,0,0,22,8,0,1.583333,1
1,0,1,1,0,0,0,1,0,1,0,1,0,22,8,1,1.25,1
1,1,1,0,0,1,0,0,0,1,1,0,0,22,160,0,1.25,1
1,1,1,0,1,0,0,0,0,1,0,1,0,22,8,1,1.25,1
0,0,0,1,0,1,1,0,0,0,0,1,0,22,160,0,1.25,1
0,0,1,1,0,0,0,1,0,1,0,1,0,22,8,1,1.25,1
1,0,1,1,1,0,0,0,0,1,0,1,0,22,8,1,1.25,1
1,1,1,0,0,1,0,1,0,1,0,1,0,22,8,0,1.625,1
0,0,0,0,0,0,0,0,0,0,1,1,1,8,320,0,1.25,1
0,1,1,0,1,0,0,0,0,0,0,1,0,8,8,1,2.125,1
1,0,1,0,0,0,0,1,0,1,0,1,1,8,8,0,2.125,1
0,1,0,0,0,0,0,1,0,0,0,0,0,22,8,1,1.25,1
0,1,0,0,0,0,0,1,0,0,0,1,0,8,160,0,2.125,1
0,1,0,0,0,0,0,0,1,0,0,0,0,8,160,0,1.25,1
1,1,1,0,0,0,0,1,0,1,0,1,0,8,8,1,2.25,1
1,1,1,0,0,1,0,1,0,1,0,1,0,8,160,0,2.25,1
