encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,time
1,1,0,0,1,0,0,0,0,0,1,6.33
0,1,0,0,0,1,0,0,0,0,0,6.23
0,0,0,0,1,0,0,1,1,0,1,6.5
0,0,0,0,1,0,0,1,0,0,1,6.11
1,1,0,0,1,0,0,0,0,1,0,6.2
0,0,0,0,1,0,0,0,1,0,0,6.32
1,1,0,0,1,0,0,0,1,0,1,6.48
1,0,0,0,1,0,0,1,1,0,0,13.51
0,0,0,0,1,0,0,0,0,0,1,6.49
1,0,0,0,1,0,0,0,1,0,1,6.29
1,1,0,0,1,0,0,0,0,0,0,6.25
0,0,0,0,0,1,0,0,0,0,0,6.21
0,0,0,0,1,0,0,0,0,0,0,6.48
0,1,0,0,1,0,0,1,1,0,1,6.14
0,1,0,1,0,0,0,1,1,1,0,6.28
0,1,0,0,1,0,0,0,0,1,0,12.77
0,1,0,0,1,0,0,0,1,0,1,6.21
0,0,0,0,1,0,0,0,1,0,1,6.32
0,1,0,0,1,0,0,0,0,0,0,6.47
0,1,0,0,1,0,0,0,1,0,0,13.11
1,0,1,0,1,0,1,0,1,0,1,163.82897489543785
1,1,1,0,0,1,0,0,0,1,1,163.82624220197573
1,1,1,1,1,1,1,1,1,1,1,163.82827305063253
0,0,0,0,0,0,0,0,1,1,0,163.82322569473394
0,1,1,1,0,0,1,1,0,1,0,163.824342428273
1,0,1,0,0,1,1,1,0,1,0,163.82140351990526
0,0,1,0,1,1,1,0,1,1,0,163.8212870305104
1,0,1,1,0,0,1,1,0,0,1,163.82895440461664
0,0,1,0,1,1,1,1,0,1,1,163.82729369542886
0,1,1,0,1,0,0,1,1,0,1,163.82251788162458
1,0,1,0,1,0,0,1,0,0,0,163.8213408906336
0,1,0,0,1,0,0,1,0,1,0,9.77
0,1,0,0,0,0,0,0,0,0,0,163.82619522922033
0,0,0,0,1,0,0,0,1,1,0,10.1
1,0,0,0,0,1,0,0,0,0,0,10.05
1,0,0,1,0,0,0,1,1,1,1,163.8276798736612
0,1,0,0,1,0,1,0,1,0,1,163.8223099123366
0,1,0,0,0,0,1,0,0,0,0,139.2
0,0,0,1,1,0,1,0,0,1,0,163.82837230126307
1,1,1,0,1,0,0,0,0,0,0,163.82378935400973
1,1,0,0,1,0,0,0,1,1,1,9.28
1,0,0,0,1,0,0,0,0,0,0,8.99
0,1,1,0,1,0,0,0,1,0,1,163.82690007851602
0,1,0,1,0,1,0,0,0,0,0,163.82352621248185
0,0,0,0,0,1,0,0,1,0,0,6.19
0,1,0,0,1,0,0,0,0,0,1,6.31
0,0,0,0,0,1,0,1,0,0,0,6.55
0,1,0,0,1,0,0,1,1,1,1,6.08
1,0,1,0,1,0,0,0,1,1,1,163.82841237905086
1,1,0,0,0,1,1,0,0,0,0,163.8252846019333
0,0,0,1,1,0,0,0,1,0,0,163.82456904850594
0,1,0,0,1,0,1,0,0,1,0,163.8274732995996
0,0,0,0,0,0,0,0,0,0,0,163.8221721807189
0,1,0,0,1,0,0,1,0,0,1,16.87
1,0,0,0,1,0,0,1,0,0,1,9.35
0,1,1,0,0,0,0,0,0,0,1,163.8281307164195
1,0,0,1,0,0,0,1,1,1,0,9.91
0,0,0,0,0,0,0,0,1,0,0,163.8227636166813
0,1,0,1,1,0,0,1,1,1,1,163.82103835680692
0,0,0,0,0,1,1,0,0,0,0,163.82544250585113
0,0,0,1,0,1,0,0,0,0,0,163.82115983105567
0,0,0,1,1,0,0,1,1,1,0,163.82446955145454
1,1,0,0,1,0,0,0,0,1,1,17.15
0,0,0,0,0,0,0,1,1,0,0,163.82221232104726
0,0,0,0,0,0,0,1,1,0,1,163.82119823290492
1,1,0,0,1,0,1,0,1,0,1,163.8279890013965
0,0,0,0,0,1,1,0,0,1,0,163.82542700012738
1,1,0,0,1,1,0,0,1,0,0,163.82787572870757
0,0,0,1,0,1,0,0,1,0,1,163.8210944208405
0,0,0,1,1,0,0,0,0,1,0,163.82146136873075
0,0,0,0,0,1,0,1,1,1,1,163.82121407839568
0,0,0,0,1,1,0,0,0,0,0,163.82546135318321
0,1,0,0,1,1,1,0,0,0,0,163.82685958516635
0,0,0,0,1,0,0,1,1,1,1,13.65
0,0,0,0,1,0,0,1,0,1,0,9.12
0,1,0,0,0,1,0,0,0,0,1,163.82258482943737
1,0,0,0,1,0,0,1,1,0,1,8.98
0,1,0,1,1,0,0,1,1,0,1,163.828450917269
0,1,0,0,0,1,0,0,1,0,0,8.99
0,1,0,0,0,0,0,1,1,0,0,163.82791367952728
0,0,0,0,0,1,0,0,1,0,1,163.82121615290094
0,1,0,1,0,0,0,0,1,1,1,163.82464946346394
1,1,0,0,1,1,0,0,0,0,1,163.82560736821208
0,1,0,0,1,1,0,1,1,0,1,163.82245632686795
1,0,0,0,1,0,0,0,1,0,0,5.28
1,0,0,0,1,0,0,0,1,1,0,156.44
1,1,0,0,0,0,0,0,1,0,0,163.82834447148954
0,0,1,0,1,0,0,0,1,0,0,163.82411974305742
0,0,0,0,1,0,1,0,0,0,1,163.82470718542544
1,0,0,0,1,0,1,1,0,1,1,163.8231779949854
