NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,weight,selected
0,0,1,1,0,1,0,0,0,1,1,1,0,8,320,0,2.72888,1
1,0,1,0,1,1,0,0,0,1,0,1,1,8,320,0,2.72888,1
0,1,0,0,0,0,0,0,0,1,1,1,0,44,160,0,1.422267,1
1,0,1,0,1,1,0,0,0,1,0,1,1,22,320,0,2.077783,1
0,0,0,0,0,0,0,0,1,0,0,1,1,22,320,0,2.074067,1
1,0,1,1,0,1,0,1,0,1,0,1,0,44,320,0,1.422267,1
1,0,1,0,0,1,0,0,1,1,0,1,1,44,160,0,1.422267,1
1,0,1,0,0,1,0,1,0,1,0,1,1,44,160,0,1.422267,1
1,0,1,0,0,1,0,0,0,1,1,0,1,44,320,0,1.422267,1
0,0,0,0,0,0,0,0,0,1,1,1,1,22,8,1,1.422267,1
1,1,0,0,0,0,0,0,0,0,1,0,0,22,8,0,2.388867,1
0,0,0,1,0,0,0,1,0,0,0,1,0,22,8,0,1.7333,1
0,0,0,0,1,0,0,0,0,1,0,0,1,22,320,0,1.7333,1
1,0,1,1,0,1,0,0,0,1,1,1,0,8,320,0,2.044433,1
1,1,0,0,0,0,0,0,1,0,0,0,0,8,8,0,2.044433,1
0,0,0,1,0,0,0,0,0,0,1,0,0,22,8,2,2.044433,1
0,0,0,1,0,0,0,0,0,0,1,0,0,22,8,0,2.044433,1
0,0,0,0,1,0,0,0,0,0,0,1,1,22,8,1,2.044433,1
