NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,weight,selected
1,0,0,1,0,0,0,0,1,0,0,1,0,8,8,1,2.76886,1
1,0,1,1,0,0,1,0,0,1,0,1,0,22,8,0,2.3259,1
1,1,1,0,0,0,0,0,0,0,1,1,0,22,8,0,2.799975,1
0,0,1,1,0,0,1,0,0,1,0,1,0,22,8,0,1.355567,1
0,1,0,0,0,0,0,1,0,0,0,0,0,22,8,0,2.185167,1
0,0,0,0,0,0,0,0,1,1,0,0,1,22,8,1,1.355567,1
1,0,0,0,0,1,1,0,0,1,0,1,1,22,8,0,1.355567,1
1,1,1,0,1,1,0,0,0,1,0,1,0,22,8,0,1.355567,1
1,1,1,0,1,0,0,0,0,0,0,1,0,22,8,0,2.144433,1
1,0,0,0,0,1,1,0,0,1,0,1,1,22,160,0,1.355567,1
1,1,1,0,0,0,1,0,0,1,0,1,0,8,8,0,2.455517,1
1,0,0,1,0,0,0,0,1,0,0,1,0,8,8,0,2.455517,1
1,1,1,0,1,0,0,0,0,1,0,1,0,22,8,0,1.9333,1
1,0,1,1,0,0,0,0,1,1,0,1,0,8,8,0,1.977733,1
1,0,1,1,0,0,0,0,1,0,0,1,0,8,8,1,1.977733,1
0,0,0,1,1,0,0,0,0,1,0,0,0,8,8,1,1.977733,1
