iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,config_id,threads
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,90
0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,10
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,10
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,10
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,90
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,6,90
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,7,90
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,8,90
0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,9,90
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10,90
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,11,10
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,12,90
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,13,90
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,14,90
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,15,90
0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,16,10
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,17,10
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,18,10
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,19,90
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,20,90
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,21,90
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,22,90
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,23,10
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,24,90
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,25,90
0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,26,90
0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,27,90
0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,28,10
0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,29,10
0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,30,90
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,31,10
1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,32,10
0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,33,10
0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,34,90
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,35,90
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,36,90
0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,37,90
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,38,90
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,39,10
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,40,10
0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,41,90
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,42,90
1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,43,10
0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,44,90
1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,45,90
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,46,10
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,47,10
0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,48,10
0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,49,90
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,50,10
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,51,10
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,52,90
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,53,10
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,54,10
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,55,10
0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,56,90
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,57,90
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,58,10
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,59,90
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,60,10
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,61,10
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,62,90
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,63,10
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,64,10
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,65,90
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,66,10
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,67,10
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,68,90
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,69,90
0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,70,90
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,71,90
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,72,10
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,73,10
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,74,10
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,75,10
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,76,10
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,77,10
0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,78,90
0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,79,90
0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,80,90
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,81,90
0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,82,10
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,83,90
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,84,90
0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,85,90
0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,86,10
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,87,10
0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,88,90
0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,89,10
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,90,90
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,91,90
1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,92,10
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,93,90
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,94,90
0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,95,10
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,96,10
0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,97,10
0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,98,10
0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,99,90
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,100,90
0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,101,90
0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,102,90
0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,103,90
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,104,10
0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,105,90
0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,106,90
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,107,10
0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,108,90
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,109,90
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,110,90
0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,111,90
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,112,90
0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,113,90
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,114,90
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,115,10
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,116,10
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,117,10
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,118,90
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,119,10
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,120,10
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,121,90
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,122,90
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,123,10
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,124,90
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,125,10
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,126,10
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,127,90
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,128,90
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,129,10
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,130,10
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,131,90
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,132,90
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,133,10
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,134,90
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,135,10
