NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,weight,selected
1,0,0,1,0,0,0,0,1,0,0,1,0,8,8,0,2.8963,1
0,0,1,1,0,0,0,1,0,1,0,1,0,8,8,1,2.8963,1
1,0,1,0,0,1,1,0,0,0,0,1,1,8,320,0,2.8963,1
1,0,1,1,0,0,0,0,1,0,0,1,0,22,8,0,1.9111,1
0,0,1,1,1,0,0,0,0,1,0,1,0,22,8,1,1.9111,1
0,1,1,0,0,0,0,0,0,1,1,0,0,44,160,0,1.9111,1
1,1,1,0,0,1,0,1,0,1,0,1,0,48,160,0,1.9111,1
1,0,0,0,0,0,0,0,1,1,0,1,1,22,8,1,1.9111,1
1,0,1,0,0,0,0,0,1,0,0,1,1,22,8,1,1.9111,1
1,0,1,0,0,1,1,0,0,1,0,1,1,48,320,0,1.9111,1
1,0,0,1,0,0,0,0,1,0,0,1,0,8,8,1,2.3889,1
0,0,1,0,0,1,1,0,0,1,0,1,1,8,320,0,2.3889,1
0,0,1,0,0,0,1,0,0,0,0,0,1,22,8,1,2.3889,1
1,0,0,1,0,0,0,0,1,0,0,1,0,22,8,1,2.3889,1
