NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,weight,selected
1,0,1,0,1,0,0,0,0,1,0,1,1,8,8,0,2.906189,1
1,0,1,0,0,0,1,0,0,1,0,1,1,8,8,0,1.6667,1
1,1,1,0,1,1,0,0,0,1,0,1,0,8,320,0,2.906189,1
1,1,1,0,1,0,0,0,0,0,0,1,0,22,8,0,1.925967,1
1,1,1,0,1,1,0,0,0,1,0,1,0,22,320,0,1.925967,1
0,0,1,1,0,0,0,1,0,1,0,1,0,22,8,0,1.2667,1
0,0,1,1,0,0,0,1,0,1,0,1,0,22,8,1,1.2667,1
0,0,0,0,0,0,1,0,0,0,0,1,1,44,8,0,1.2667,1
1,0,1,0,1,0,0,0,0,1,0,1,1,22,8,0,1.2667,1
1,0,0,1,0,0,0,1,0,0,0,1,0,48,8,1,1.2667,1
0,0,0,0,0,0,1,0,0,1,0,1,1,8,8,0,1.4667,1
1,0,1,0,0,0,1,0,0,1,0,1,1,8,8,1,1.4667,1
1,0,1,0,0,1,1,0,0,1,0,1,1,8,320,0,2.1,1
1,0,1,0,1,1,0,0,0,1,0,1,1,8,8,0,2.711125,1
1,0,1,0,1,1,0,0,0,1,0,1,1,8,160,0,2.14445,1
1,1,0,0,1,1,0,0,0,1,0,1,0,8,320,0,2.3111,1
1,0,1,0,0,1,0,0,0,1,1,1,1,8,8,0,2.3111,1
1,0,1,0,0,1,1,0,0,1,0,1,1,8,8,0,2.3111,1
1,1,1,0,1,1,0,0,0,1,0,1,0,8,8,0,2.0889,1
1,0,0,0,1,1,0,0,0,1,0,1,1,8,8,0,2.0889,1
