NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,weight,selected
1,1,1,0,1,1,0,0,0,1,0,1,0,8,320,0,2.85925,1
0,0,1,1,0,1,0,0,0,1,1,1,0,8,320,0,1.3889,0
1,0,1,1,0,1,0,0,0,1,1,1,0,8,320,0,1.3889,1
0,1,0,0,0,0,0,0,0,1,1,1,0,44,160,0,1.3889,1
1,0,1,0,1,1,0,0,0,1,0,1,1,22,320,0,1.3889,1
0,0,0,0,0,0,0,0,1,0,0,1,1,22,320,0,1.3889,1
1,0,1,1,0,1,0,1,0,1,0,1,0,44,320,0,1.3889,1
1,0,1,0,0,1,0,0,1,1,0,1,1,44,160,0,1.3889,1
1,0,1,0,0,1,0,1,0,1,0,1,1,44,160,0,1.3889,1
0,0,0,0,0,0,0,0,0,1,1,1,1,22,8,1,1.3889,1
1,1,1,0,0,0,1,0,0,1,0,1,0,8,8,0,2.601833,1
1,1,1,0,1,1,0,0,0,1,0,1,0,8,8,0,2.601833,1
1,1,1,0,1,1,0,0,0,0,0,1,0,8,8,0,2.601833,1
1,1,1,0,0,1,1,0,0,1,0,1,0,8,8,0,2.601833,1
1,1,1,0,1,1,0,0,0,1,0,0,0,8,8,0,2.10555,1
1,1,1,0,0,1,1,0,0,1,0,1,0,8,320,0,2.601833,1
0,0,1,1,1,1,0,0,0,1,0,1,0,8,8,0,2.10555,1
1,1,1,0,1,1,0,0,0,0,0,1,0,8,320,0,2.601833,1
1,1,1,0,0,1,0,0,0,0,1,1,0,8,320,0,1.8444,1
1,0,1,0,0,1,1,0,0,1,0,1,1,8,8,0,2.0944,1
1,1,0,0,1,0,0,0,0,1,0,1,0,8,8,0,2.0944,1
