iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,weight,selected
1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,90,2.040013,1
0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,90,1.748133,1
0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,90,1.155533,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10,2.0296,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,2.051833,1
0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,90,1.73332,1
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,10,1.155533,0
0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,10,1.155533,0
0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,10,1.703667,1
0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,90,1.155533,0
0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,90,1.2778,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10,1.7111,1
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,10,1.311067,0
0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,10,1.311067,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,90,1.777767,1
0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,90,1.311067,0
1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,10,1.477733,1
0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,90,2.181467,1
0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,90,2.181467,1
0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,90,2.033333,1
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,90,2.033333,1
0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,90,2.033333,1
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,90,1.5778,1
0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,10,2.033333,1
0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,10,1.988867,1
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,10,1.988867,1
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,10,1.988867,1
0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,10,1.988867,1
