NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,weight,selected
1,0,1,0,1,1,0,0,0,1,0,1,1,8,8,0,2.847629,1
0,0,0,0,0,0,0,0,1,0,0,0,1,8,8,2,2.851867,1
1,0,1,1,0,1,1,0,0,1,0,1,0,22,8,0,1.8222,1
0,1,0,0,0,0,0,0,1,0,0,0,0,22,8,1,1.3222,1
1,0,1,1,0,0,0,0,1,1,0,1,0,22,8,2,2.333325,1
0,0,0,0,1,0,0,0,0,1,0,0,1,8,8,0,2.101867,1
1,0,1,1,0,1,0,0,0,1,1,1,0,22,160,0,1.3222,1
1,0,0,0,1,0,0,0,0,0,0,0,1,22,8,0,1.3222,1
1,0,1,0,1,1,0,0,0,1,0,1,1,22,8,0,1.3222,1
0,0,1,0,1,0,0,0,0,0,0,0,1,22,8,0,1.3222,1
1,0,1,1,0,0,1,0,0,1,0,1,0,22,8,0,1.5722,1
1,0,0,1,0,0,0,0,1,1,0,0,0,22,8,1,1.5722,1
1,0,1,0,0,0,0,0,1,0,0,1,1,8,8,2,2.601867,1
0,1,0,0,0,1,0,0,0,0,1,0,0,8,320,0,2.3667,1
0,1,0,0,1,1,0,0,0,0,0,0,0,8,320,0,2.3667,1
1,0,0,1,0,0,0,1,0,0,0,1,0,8,8,0,2.1167,1
0,0,0,0,0,0,0,0,1,0,0,1,1,8,8,2,2.1167,1
1,0,1,0,1,1,0,0,0,1,0,1,1,8,160,0,2.1167,1
