iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,weight,selected
0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,90,0.866622,0
1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,90,1.6444,1
1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,90,2.076187,1
1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,90,2.204933,1
0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,90,1.277767,0
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,10,2.35185,1
0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,10,2.437036,1
1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,10,0.866622,0
0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,10,0.866622,0
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,90,0.866622,0
0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,90,1.392611,0
0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10,1.422228,1
0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,90,0.888933,0
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,90,2.366667,1
0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,10,1.794436,1
1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,90,1.755544,1
0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,10,1.674067,1
0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,10,1.611089,1
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,10,1.962956,1
0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,90,1.855561,1
0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,90,1.822211,1
0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,90,2.037033,1
0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,90,1.888872,1
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,90,1.7778,1
0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,90,1.7778,1
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10,1.955572,1
0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,90,1.800011,1
