encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,workload
0,0,0,0,1,0,0,0,0,1,0,misc.tar
1,0,0,1,0,0,0,1,0,1,0,misc.tar
0,1,0,0,0,1,0,0,0,0,0,misc.tar
1,0,0,0,1,0,0,0,1,0,0,misc.tar
0,0,0,0,0,1,0,0,0,1,0,misc.tar
0,1,0,0,1,0,0,0,0,0,1,misc.tar
0,0,0,0,1,0,0,0,1,0,0,misc.tar
1,1,0,0,1,0,0,0,0,1,0,misc.tar
1,0,1,0,0,0,0,0,1,0,0,misc.tar
0,0,0,0,0,1,0,0,1,0,0,misc.tar
0,1,0,0,1,0,0,0,0,0,0,misc.tar
0,1,0,1,0,0,0,1,0,1,0,misc.tar
0,1,0,0,1,0,0,0,0,1,0,misc.tar
0,1,0,0,1,0,0,0,1,0,0,misc.tar
0,0,0,1,0,0,0,1,0,0,0,misc.tar
0,0,0,0,0,0,1,0,0,1,0,misc.tar
1,0,1,0,0,0,0,0,1,1,0,misc.tar
1,0,0,0,1,0,0,1,0,0,1,misc.tar
0,1,0,0,1,0,0,1,0,1,0,misc.tar
1,0,0,1,0,0,0,1,0,0,0,misc.tar
1,0,0,0,1,0,0,0,1,0,1,vmlinux-5.10.tar
0,1,0,0,1,0,0,0,0,0,1,vmlinux-5.10.tar
0,1,0,0,1,0,0,0,0,0,1,vmlinux-5.10.tar
0,0,0,0,0,1,0,0,0,1,0,vmlinux-5.10.tar
0,0,0,0,0,1,0,0,0,1,0,vmlinux-5.10.tar
0,1,0,0,1,0,0,0,1,0,1,vmlinux-5.10.tar
0,1,0,0,0,1,0,0,0,0,0,vmlinux-5.10.tar
1,1,0,0,1,0,0,0,0,1,0,vmlinux-5.10.tar
0,1,0,0,0,1,0,0,0,0,0,vmlinux-5.10.tar
1,1,0,0,1,0,0,0,0,1,0,vmlinux-5.10.tar
0,0,0,0,0,1,0,0,0,0,0,vmlinux-5.10.tar
0,0,0,0,1,0,0,0,1,0,1,vmlinux-5.10.tar
1,0,0,0,1,0,0,0,1,0,0,vmlinux-5.10.tar
0,0,0,0,0,1,0,0,1,0,0,vmlinux-5.10.tar
1,0,0,0,1,0,0,0,1,0,0,vmlinux-5.10.tar
0,0,0,0,0,1,0,0,1,0,0,vmlinux-5.10.tar
0,0,0,0,1,0,0,0,1,0,0,vmlinux-5.10.tar
0,0,0,0,1,0,0,0,1,0,0,vmlinux-5.10.tar
0,0,0,0,1,0,0,0,0,1,1,vmlinux-5.10.tar
1,1,0,0,1,0,0,0,0,0,1,vmlinux-5.10.tar
