NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,weight,selected
1,1,1,0,0,0,1,0,0,1,0,1,0,8,8,0,2.914286,1
1,0,1,1,0,1,1,0,0,1,0,1,0,8,8,0,2.914286,1
1,0,0,1,0,0,0,0,1,0,0,1,0,8,8,0,2.914286,1
1,0,1,1,0,1,1,0,0,1,0,1,0,22,8,0,1.3444,1
1,0,1,0,0,1,0,0,1,1,0,1,1,8,320,0,1.3444,1
1,0,1,1,0,1,0,0,0,1,1,1,0,8,8,0,2.638875,1
0,0,0,1,0,0,0,0,0,0,1,0,0,44,8,2,1.3444,1
1,0,1,1,0,1,0,0,0,1,1,1,0,22,8,0,1.3444,1
0,0,0,1,0,0,1,0,0,1,0,1,0,48,8,0,1.3444,1
1,1,0,0,0,0,0,1,0,0,0,0,0,44,8,2,1.3444,1
1,1,1,0,0,1,1,0,0,1,0,1,0,8,8,0,2.675933,1
0,1,0,0,0,0,1,0,0,0,0,0,0,22,8,1,2.17225,1
1,0,1,1,0,1,1,0,0,0,0,1,0,8,8,0,1.9556,1
1,1,1,0,1,1,0,0,0,1,0,1,0,8,8,0,2.44445,1
0,0,1,1,0,1,1,0,0,1,0,1,0,8,8,0,2.1833,1
