iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,weight,selected
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,90,1.357143,0
0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,90,1.357143,0
0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,90,1.357143,0
0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,90,1.632653,0
0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,10,0.809524,0
0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,90,0.714286,0
0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,10,0.809524,0
0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,10,0.714286,0
0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,10,0.714286,0
0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,10,0.809524,0
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,10,0.571429,0
0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,10,0.571429,0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10,2.238095,1
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,90,1.642857,1
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,90,2.214286,1
0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,90,2.0,1
0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,10,2.214286,1
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,90,2.071429,1
0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,90,1.642857,1
1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,90,1.642857,1
0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,90,2.047619,1
0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,90,2.047619,1
0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,90,1.285714,0
0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,90,1.785714,1
0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,90,2.142857,1
0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,90,1.142857,0
0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,90,1.142857,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,90,1.714286,1
0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,90,2.071429,1
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,90,1.714286,1
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,90,2.071429,1
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,90,2.0,1
0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,10,2.0,1
0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,90,2.0,1
0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,90,2.0,1
