encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,weight,selected
1,1,1,0,0,0,0,0,0,1,0,2.408956,1
1,1,0,0,1,0,0,0,0,1,0,2.1667,1
1,0,1,0,0,0,0,0,0,1,0,2.771176,1
0,0,0,0,0,1,0,0,0,0,0,2.4132,1
1,0,1,0,0,0,0,0,1,0,0,2.33335,1
0,0,0,1,0,0,0,0,0,1,0,1.3056,1
0,0,0,0,1,0,0,1,1,1,1,1.0556,1
1,0,0,1,0,0,0,0,1,0,0,1.0556,1
1,1,0,0,0,0,1,0,1,1,0,1.0556,1
1,0,0,0,1,0,0,0,1,0,1,2.384267,1
0,0,0,0,0,1,0,0,0,1,0,2.236125,1
0,0,1,0,0,0,0,1,1,1,0,2.009267,1
0,0,0,0,1,0,0,0,1,0,0,1.4306,1
1,0,0,1,0,0,0,1,0,1,0,2.277775,1
1,1,0,0,1,0,0,0,0,0,0,1.91665,1
0,0,0,0,0,1,0,0,1,0,0,2.0139,1
0,1,0,0,1,0,0,1,1,0,1,1.9722,1
0,0,0,0,1,0,0,0,1,0,1,1.6944,1
