encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,workload
1,0,0,0,1,0,0,0,1,0,1,silesia.tar
1,1,1,0,0,0,0,0,0,1,0,silesia.tar
1,0,0,0,1,0,0,0,1,0,0,silesia.tar
0,1,0,0,1,0,0,1,1,0,1,silesia.tar
0,0,0,0,1,0,0,0,1,0,1,silesia.tar
0,1,0,0,1,0,0,0,1,0,1,silesia.tar
1,1,0,0,1,0,0,0,0,0,1,silesia.tar
0,0,0,0,1,0,0,1,1,0,1,silesia.tar
0,0,0,0,1,0,0,0,0,0,1,silesia.tar
0,0,0,0,1,0,0,0,1,0,0,silesia.tar
1,0,1,0,0,0,0,0,1,0,0,silesia.tar
0,0,0,0,1,0,0,0,1,1,1,silesia.tar
0,0,0,1,0,0,0,0,0,1,0,silesia.tar
0,0,1,0,0,0,0,1,1,0,0,silesia.tar
1,1,0,0,1,0,0,1,1,0,0,silesia.tar
1,0,0,0,1,0,0,0,0,1,1,silesia.tar
0,0,1,0,0,0,0,0,1,0,0,silesia.tar
0,0,0,0,1,0,0,0,1,1,0,silesia.tar
0,1,0,0,0,0,1,0,1,1,0,silesia.tar
0,0,0,0,1,0,0,1,0,1,0,silesia.tar
0,1,0,0,1,0,0,0,1,0,1,misc.tar
0,1,0,0,1,0,0,0,1,0,1,misc.tar
0,1,0,0,1,0,0,1,1,0,1,misc.tar
0,0,0,0,1,0,0,0,1,0,1,misc.tar
0,1,0,0,1,0,0,1,1,0,1,misc.tar
0,0,0,0,1,0,0,0,1,0,1,misc.tar
1,0,0,0,1,0,0,0,1,0,1,misc.tar
1,1,1,0,0,0,0,0,0,1,0,misc.tar
1,0,0,0,1,0,0,0,1,0,0,misc.tar
0,0,0,0,1,0,0,0,1,0,0,misc.tar
0,1,0,0,1,0,0,1,1,1,0,misc.tar
1,0,0,0,1,0,0,0,1,0,1,misc.tar
1,1,1,0,0,0,0,0,0,1,0,misc.tar
1,0,0,0,1,0,0,0,1,0,0,misc.tar
0,0,0,0,1,0,0,0,1,0,0,misc.tar
1,0,1,0,0,0,0,0,1,0,0,misc.tar
0,1,0,0,1,0,0,0,0,0,1,misc.tar
0,0,0,0,1,0,0,1,0,0,1,misc.tar
1,1,0,1,0,0,0,0,0,0,0,misc.tar
1,1,0,0,1,0,0,0,0,0,1,misc.tar
0,0,0,0,0,1,0,0,1,0,0,uiq2-8.bin
1,1,1,0,0,0,0,0,0,1,0,uiq2-8.bin
1,1,1,0,0,0,0,0,0,1,0,uiq2-8.bin
1,0,1,0,0,0,0,0,1,0,0,uiq2-8.bin
1,0,0,0,1,0,0,0,1,0,0,uiq2-8.bin
1,0,0,0,1,0,0,0,1,0,0,uiq2-8.bin
1,0,0,0,1,0,0,0,1,0,1,uiq2-8.bin
1,0,0,0,1,0,0,0,1,0,1,uiq2-8.bin
1,0,1,0,0,0,0,0,0,1,0,uiq2-8.bin
0,1,0,0,1,0,0,0,1,0,1,uiq2-8.bin
0,1,0,0,1,0,0,0,1,0,1,uiq2-8.bin
0,0,0,0,0,1,0,0,0,1,0,uiq2-8.bin
0,0,0,0,0,1,0,1,1,1,0,uiq2-8.bin
0,1,0,0,1,0,0,1,1,0,1,uiq2-8.bin
0,1,0,0,1,0,0,1,1,0,1,uiq2-8.bin
1,1,0,0,1,0,0,0,0,1,0,uiq2-8.bin
0,0,0,0,1,0,0,0,0,0,0,uiq2-8.bin
0,0,0,0,1,0,0,0,1,0,1,uiq2-8.bin
0,0,0,0,1,0,0,0,1,0,1,uiq2-8.bin
0,0,0,0,1,0,0,1,1,0,1,uiq2-8.bin
