encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,workload
1,1,0,0,0,1,0,0,0,0,0,enwik8.tar
1,1,0,0,1,0,0,0,0,0,0,enwik8.tar
0,0,0,0,0,1,0,0,1,0,0,enwik8.tar
0,1,0,0,1,0,0,0,0,0,0,enwik8.tar
0,0,0,1,0,0,0,1,1,0,0,enwik8.tar
0,0,0,0,0,1,0,1,1,1,0,enwik8.tar
0,0,0,0,0,1,0,1,0,0,0,enwik8.tar
1,1,0,0,0,1,0,1,0,0,0,enwik8.tar
0,0,0,1,0,0,0,1,1,1,0,enwik8.tar
0,0,0,0,0,1,0,1,0,1,0,enwik8.tar
0,0,0,0,0,1,0,0,1,1,0,enwik8.tar
1,1,1,0,0,0,0,0,1,0,0,enwik8.tar
0,0,0,1,0,0,0,0,1,1,0,enwik8.tar
1,1,0,0,0,1,0,1,0,1,0,enwik8.tar
1,1,1,0,0,0,0,1,1,0,0,enwik8.tar
0,0,0,0,1,0,0,1,0,1,1,enwik8.tar
1,0,0,0,1,0,0,1,0,0,0,enwik8.tar
1,0,0,0,0,1,0,1,0,0,0,enwik8.tar
0,0,0,0,0,0,1,1,0,1,0,enwik8.tar
1,0,0,1,0,0,0,1,1,0,0,enwik8.tar
0,1,0,0,1,0,0,1,1,1,0,ambivert.wav.tar
0,0,0,0,0,1,0,1,0,1,0,ambivert.wav.tar
0,0,0,0,0,1,0,0,0,0,0,ambivert.wav.tar
0,0,0,0,0,1,0,1,0,1,0,ambivert.wav.tar
0,1,0,0,1,0,0,0,0,0,0,ambivert.wav.tar
0,1,0,0,1,0,0,0,0,0,0,ambivert.wav.tar
0,1,0,0,0,1,0,0,0,0,0,ambivert.wav.tar
0,0,0,1,0,0,0,1,1,0,0,ambivert.wav.tar
0,0,0,1,0,0,0,1,1,0,0,ambivert.wav.tar
1,1,0,0,0,1,0,0,0,0,0,ambivert.wav.tar
0,0,0,0,0,1,0,1,0,0,0,ambivert.wav.tar
1,1,0,0,0,1,0,0,0,0,0,ambivert.wav.tar
0,0,0,0,0,1,0,1,0,0,0,ambivert.wav.tar
1,1,0,0,1,0,0,0,0,0,0,ambivert.wav.tar
0,0,0,1,0,0,0,1,1,1,0,ambivert.wav.tar
1,1,0,0,1,0,0,0,0,0,0,ambivert.wav.tar
0,0,0,1,0,0,0,1,1,1,0,ambivert.wav.tar
0,0,0,0,1,0,0,0,0,0,0,ambivert.wav.tar
1,1,0,0,1,0,0,0,0,1,0,ambivert.wav.tar
0,0,0,0,0,1,0,1,1,1,0,ambivert.wav.tar
