NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,weight,selected
1,1,1,0,0,0,0,0,0,0,1,1,0,22,8,1,2.854311,1
0,1,1,0,0,0,0,0,1,0,0,1,0,22,160,0,2.03556,1
1,1,1,0,0,1,0,0,1,0,0,1,0,22,160,0,2.03556,1
0,0,1,0,0,0,0,1,0,1,0,1,1,22,8,1,1.2,0
1,1,1,0,0,0,0,0,0,1,1,1,0,22,8,2,1.2,1
0,0,0,0,0,0,1,0,0,0,0,0,1,22,160,0,2.074067,1
0,0,0,1,0,0,0,0,0,0,1,0,0,44,8,0,1.2,1
1,0,1,0,0,0,0,1,0,1,0,1,1,22,8,1,1.2,1
0,0,0,0,0,0,0,1,0,0,0,0,1,22,8,1,1.2,1
1,0,1,1,0,0,1,0,0,0,0,0,0,44,8,1,1.2,1
1,0,0,1,0,0,1,0,0,1,0,0,0,8,8,0,2.6611,1
1,1,1,0,0,0,0,0,0,0,1,1,0,22,8,0,2.6611,1
0,1,1,0,0,1,0,0,1,0,0,0,0,22,160,0,1.84445,1
1,1,0,0,0,0,0,1,0,0,0,0,0,22,8,2,1.4222,1
1,0,0,1,0,0,1,0,0,0,0,1,0,22,8,1,2.0889,1
1,1,1,0,1,1,0,0,0,1,0,0,0,8,8,0,2.27775,1
1,1,1,0,1,0,0,0,0,1,0,1,0,8,160,0,2.27775,1
0,0,1,0,1,1,0,0,0,1,0,1,1,8,160,0,2.27775,1
1,1,1,0,0,0,1,0,0,1,0,1,0,8,8,0,2.0444,1
0,0,1,1,1,1,0,0,0,1,0,1,0,8,8,0,2.0444,1
1,1,1,0,0,1,1,0,0,1,0,1,0,22,8,0,2.0444,1
