NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,weight,selected
1,0,1,1,1,1,0,0,0,0,0,1,0,8,8,0,2.726986,1
0,0,1,1,1,0,0,0,0,1,0,1,0,8,8,0,2.737033,1
1,0,0,0,0,0,0,0,1,1,0,1,1,8,8,0,2.2511,1
0,1,0,0,0,0,0,0,0,1,1,0,0,48,8,2,1.629633,1
0,1,0,0,1,0,0,0,0,0,0,0,0,22,8,1,1.1889,1
1,0,0,1,0,0,0,1,0,0,0,1,0,44,8,0,1.1889,1
0,0,1,1,1,0,0,0,0,1,0,1,0,22,8,0,1.1889,1
0,1,0,0,1,0,0,0,0,1,0,0,0,22,8,0,1.1889,1
1,1,0,0,0,1,0,0,0,1,1,1,0,48,320,0,1.1889,1
0,0,0,1,0,0,0,0,1,0,0,0,0,22,8,0,1.1889,1
0,0,0,1,0,0,0,1,0,0,0,0,0,8,8,0,2.483333,1
0,0,0,1,0,0,0,1,0,0,0,0,0,8,320,0,1.35,1
1,1,1,0,0,1,0,0,0,1,1,1,0,8,8,0,2.3,1
1,1,1,0,0,1,0,0,0,0,1,1,0,8,8,0,2.3,1
1,0,1,1,1,1,0,0,0,1,0,1,0,8,8,0,2.3,1
0,0,0,1,0,0,0,1,0,1,0,1,0,8,8,0,1.9167,1
1,0,1,1,0,1,0,0,1,1,0,1,0,8,8,0,1.9167,1
0,0,1,1,0,0,0,1,0,0,0,0,0,8,8,0,1.9167,1
