NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,weight,selected
1,1,1,0,1,0,0,0,0,1,0,1,0,22,8,0,2.571429,1
1,1,1,0,0,1,0,0,0,1,1,1,0,22,8,0,2.583333,1
1,1,1,0,1,0,0,0,0,1,0,1,0,22,320,0,2.45,1
0,0,0,1,0,0,1,0,0,0,0,0,0,22,8,1,2.541667,1
1,1,1,0,0,0,1,0,0,1,0,1,0,48,8,1,1.5,1
1,0,1,0,0,1,0,0,1,1,0,1,1,22,160,0,1.5,1
1,0,1,0,0,0,0,0,0,1,1,1,1,48,8,2,1.5,1
1,1,1,0,0,1,0,1,0,0,0,1,0,44,320,0,1.5,1
0,0,0,0,1,0,0,0,0,1,0,1,1,22,8,2,1.5,1
1,0,1,0,0,1,0,0,1,1,0,1,1,44,160,0,1.5,1
1,0,0,1,0,0,1,0,0,0,0,1,0,22,8,0,2.0,1
1,0,0,1,0,0,1,0,0,0,0,1,0,22,8,1,1.625,1
0,1,0,0,0,1,1,0,0,0,0,0,0,22,8,0,1.0,1
1,1,0,0,1,0,0,0,0,1,0,1,0,22,8,0,1.625,1
1,0,1,0,0,1,0,0,1,1,0,1,1,8,8,0,2.125,1
1,1,1,0,0,0,1,0,0,0,0,1,0,22,8,0,2.0,1
