iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,weight,selected
0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,90,2.2111,1
0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,10,1.637033,1
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,90,1.637033,1
1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,10,1.1667,0
0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,90,1.1667,0
0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,10,1.1667,0
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,10,1.1667,0
0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,90,1.637033,1
0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,90,1.1667,1
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,10,1.1667,1
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,90,1.3722,1
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,10,1.3722,1
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,90,2.3111,1
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,90,2.3111,1
0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,90,2.3111,1
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,90,2.3111,1
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,90,2.3111,1
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,90,2.3111,1
0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,90,1.8222,1
0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,90,1.8222,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,90,2.05,1
0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,90,2.05,1
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,90,2.05,1
0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,90,2.05,1
