NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,weight,selected
0,1,0,0,0,0,0,1,0,0,0,0,0,8,160,0,2.832089,1
0,1,1,0,0,0,0,0,1,0,0,0,0,8,160,0,2.832089,1
0,0,0,1,0,0,1,0,0,0,0,0,0,8,160,0,2.832089,1
0,1,0,0,0,0,1,0,0,1,0,0,0,8,160,0,1.2222,1
1,1,0,0,0,0,1,0,0,1,0,1,0,22,8,0,1.2222,1
0,0,0,1,0,0,1,0,0,0,0,0,0,8,320,0,1.2222,1
1,0,1,0,0,1,1,0,0,1,0,1,1,8,160,0,1.666667,1
1,0,0,0,0,0,0,0,1,0,0,1,1,8,8,1,1.2222,1
1,0,1,0,0,1,1,0,0,1,0,1,1,22,8,0,1.2222,1
1,1,1,0,0,0,0,0,1,1,0,0,0,44,8,0,1.2222,1
0,1,0,0,0,0,1,0,0,0,0,0,0,8,160,0,2.633325,1
0,0,0,1,0,0,1,0,0,0,0,0,0,8,8,0,1.4889,1
0,0,0,1,0,0,1,0,0,1,0,1,0,8,8,1,2.4148,1
0,0,0,1,0,1,1,0,0,0,0,0,0,8,160,0,2.0111,1
0,0,0,1,1,0,0,0,0,0,0,1,0,8,8,1,1.6222,1
1,0,1,0,0,1,1,0,0,1,0,1,1,8,8,0,2.2111,1
0,1,1,0,0,0,0,0,0,0,1,0,0,8,160,0,2.0222,1
