Workload,Algorithm,r,Mean (Std),IQR
mandelbrot,DLiSA-B8,3.0,1.056 (0.016),0.02
mandelbrot,DLiSA-B9,3.0,1.057 (0.016),0.03
strawberry,DLiSA-B0,2.0,1.117 (0.018),0.0
strawberry,DLiSA-B1,1.0,1.117 (0.017),0.0
strawberry,DLiSA-B2,2.0,1.118 (0.018),0.01
strawberry,DLiSA-B3,2.0,1.117 (0.017),0.002
strawberry,DLiSA-B4,2.0,1.12 (0.024),0.01
strawberry,DLiSA-B,1.0,1.117 (0.016),0.01
strawberry,DLiSA-B6,2.0,1.119 (0.022),0.002
strawberry,DLiSA-B7,2.0,1.12 (0.019),0.01
strawberry,DLiSA-B8,2.0,1.122 (0.024),0.012
strawberry,DLiSA-B9,2.0,1.124 (0.022),0.02
village,DLiSA-B0,1.0,1.625 (0.03),0.01
village,DLiSA-B1,3.0,1.628 (0.034),0.02
village,DLiSA-B2,3.0,1.627 (0.031),0.01
village,DLiSA-B3,3.0,1.629 (0.031),0.02
village,DLiSA-B4,3.0,1.626 (0.03),0.01
village,DLiSA-B,3.0,1.628 (0.032),0.012
village,DLiSA-B6,2.0,1.625 (0.031),0.01
village,DLiSA-B7,3.0,1.631 (0.031),0.02
village,DLiSA-B8,3.0,1.641 (0.034),0.06
village,DLiSA-B9,3.0,1.654 (0.039),0.062
