NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,weight,selected
0,1,0,0,0,0,1,0,0,0,0,0,0,8,8,0,2.533329,1
1,0,1,1,0,1,1,0,0,1,0,1,0,8,160,0,1.3111,1
1,0,1,1,0,1,1,0,0,1,0,1,0,8,320,0,1.3111,1
1,0,1,1,0,1,0,1,0,1,0,1,0,8,320,0,1.3111,1
1,1,1,0,1,1,0,0,0,1,0,1,0,8,8,0,2.728389,1
1,0,1,1,0,0,1,0,0,1,0,1,0,22,8,0,1.3111,1
1,1,1,0,1,0,0,0,0,1,0,0,0,8,8,0,2.727775,1
1,0,1,1,0,1,1,0,0,1,0,1,0,22,8,0,1.3111,1
1,1,1,0,1,0,0,0,0,1,0,1,0,8,8,1,1.3111,1
1,1,1,0,1,0,0,0,0,1,0,1,0,22,8,0,1.3111,1
0,1,1,0,1,0,0,0,0,0,0,0,0,8,8,0,2.50555,1
1,1,1,0,0,0,1,0,0,1,0,1,0,8,8,0,2.50555,1
1,1,1,0,1,0,0,0,0,1,0,1,0,8,160,0,1.6889,1
0,1,0,0,1,0,0,0,0,1,0,0,0,8,8,0,2.1037,1
1,1,1,0,0,1,1,0,0,1,0,1,0,8,8,0,1.9222,1
1,0,0,1,0,0,1,0,0,0,0,1,0,8,8,1,1.9222,1
0,1,0,0,0,0,1,0,0,0,0,1,0,8,8,0,1.9111,1
1,1,1,0,1,1,0,0,0,1,0,0,0,8,8,0,1.9111,1
