NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,config_id,Resampling,CBR,VBRRange
0,1,0,0,0,0,0,1,0,0,0,0,0,1,44,8,0
0,0,0,0,0,0,0,0,0,0,1,0,1,2,48,160,0
0,1,0,0,1,0,0,0,0,0,0,0,0,3,44,8,2
0,0,0,0,0,0,1,0,0,0,0,0,1,4,48,320,0
0,0,0,0,0,0,1,0,0,0,0,0,1,5,44,160,0
0,1,0,0,0,0,0,1,0,0,0,0,0,6,48,8,1
0,0,0,0,0,0,1,0,0,0,0,0,1,7,22,160,0
0,0,0,0,0,0,0,0,1,0,0,0,1,8,22,8,1
0,0,0,0,0,0,0,0,1,0,0,1,1,9,48,160,0
0,1,0,0,1,0,0,0,0,0,0,0,0,10,44,8,0
0,0,0,0,0,0,0,0,0,0,1,0,1,11,48,8,0
0,0,0,1,0,0,0,0,0,0,1,0,0,12,22,320,0
0,0,0,1,0,0,1,0,0,0,0,0,0,13,22,8,0
0,1,0,0,0,0,0,1,0,0,0,0,0,14,22,8,0
0,0,0,1,0,0,0,0,1,0,0,0,0,15,8,160,0
0,0,0,1,0,0,0,0,0,0,1,0,0,16,22,160,0
0,0,0,1,1,0,0,0,0,0,0,0,0,17,22,8,1
0,0,0,0,1,0,0,0,0,0,0,0,1,18,48,8,0
0,0,0,1,1,0,0,0,0,0,0,0,0,19,8,160,0
0,0,0,0,0,0,0,1,0,0,0,0,1,20,22,8,1
0,1,0,0,0,0,0,0,1,0,0,0,0,21,8,8,1
0,1,0,0,0,0,0,0,0,0,1,0,0,22,48,8,0
0,1,0,0,1,0,0,0,0,0,0,0,0,23,8,8,0
0,0,0,0,0,0,0,0,0,0,1,0,1,24,22,8,0
0,1,0,0,0,0,1,0,0,1,0,0,0,25,22,160,0
0,0,0,1,0,0,1,0,0,0,0,0,0,26,22,8,0
0,1,0,0,0,0,0,1,0,0,0,0,0,27,48,160,0
0,0,0,1,0,0,0,0,1,0,0,0,0,28,48,8,0
0,1,0,0,0,0,0,1,0,0,0,0,0,29,44,8,0
0,0,0,1,0,0,0,0,1,0,0,0,0,30,22,8,1
0,0,0,0,0,0,0,0,0,0,1,0,1,31,44,8,1
0,1,0,0,0,0,1,0,0,0,0,0,0,32,8,8,0
0,0,0,0,1,0,0,0,0,0,0,0,1,33,22,320,0
0,0,0,1,0,0,0,0,0,0,1,0,0,34,48,8,0
0,0,0,1,1,0,0,0,0,0,0,0,0,35,8,8,0
0,0,0,1,0,0,0,0,1,0,0,0,0,36,44,160,0
0,1,0,0,0,1,0,0,1,0,0,0,0,37,48,320,0
0,0,0,0,0,0,0,0,0,0,1,0,1,38,44,8,0
0,1,0,0,1,0,0,0,0,0,0,0,0,39,44,160,0
0,0,0,1,0,0,0,0,1,0,0,0,0,40,8,8,0
