encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,weight,selected
0,0,0,0,0,1,0,1,1,1,0,1.333333,1
0,0,0,0,1,0,0,0,1,0,0,1.083333,1
0,0,0,0,0,1,0,0,1,0,0,1.5,1
1,0,0,0,1,0,0,0,1,0,1,1.416667,1
1,0,0,0,1,0,0,0,1,0,0,1.5,1
0,0,0,0,0,1,0,0,0,0,0,1.666667,1
0,0,0,0,1,0,0,0,0,1,0,1.833333,1
0,1,0,0,1,0,0,1,1,1,1,1.666667,1
0,0,0,0,1,0,0,0,1,0,1,1.166667,1
0,0,0,0,1,0,0,1,0,0,1,1.5,1
0,1,0,0,1,0,0,0,0,0,0,1.083333,0
0,1,0,0,1,0,0,1,1,1,0,1.333333,1
0,1,0,0,1,0,0,0,1,0,1,1.583333,1
0,1,0,0,0,1,0,0,0,0,0,1.583333,1
1,1,0,0,1,0,0,0,0,0,0,1.5,1
1,1,0,0,0,1,0,0,0,0,0,1.416667,1
0,0,0,0,1,0,0,0,0,0,0,0.416667,0
0,0,0,0,1,0,0,0,0,0,1,0.666667,0
1,1,0,0,1,0,0,0,0,0,1,0.416667,1
0,1,0,0,1,0,0,1,1,0,1,1.5,1
0,0,0,0,0,1,0,0,0,1,0,1.0,0
0,1,0,0,1,0,0,0,0,0,1,0.916667,1
0,0,0,0,0,1,0,0,1,1,0,1.166667,1
1,1,0,0,1,0,0,0,0,1,0,1.166667,1
