NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,weight,selected
0,1,1,0,1,0,0,0,0,0,0,0,0,8,8,0,2.869857,1
0,0,0,1,0,0,0,0,0,0,1,0,0,22,8,1,2.35336,1
0,1,0,0,1,0,0,0,0,0,0,0,0,22,8,2,1.7852,1
1,0,0,1,0,0,0,1,0,1,0,0,0,44,8,1,2.153733,1
0,1,0,0,0,0,0,0,1,1,0,1,0,48,8,0,1.7852,1
0,0,0,1,1,0,0,0,0,1,0,0,0,48,8,1,1.3,1
0,1,1,0,0,0,0,1,0,1,0,0,0,44,8,1,1.3,0
1,0,0,1,1,0,0,0,0,1,0,0,0,44,8,1,1.3,1
1,0,0,1,0,0,0,0,0,0,1,0,0,44,8,2,1.3,1
1,0,1,1,1,0,0,0,0,0,0,0,0,44,8,1,1.3,1
1,0,1,1,1,1,0,0,0,1,0,0,0,8,320,0,2.6315,1
1,1,0,0,1,0,0,0,0,1,0,1,0,48,8,1,1.5278,1
0,0,0,1,0,0,0,0,0,0,1,0,0,8,8,0,2.43335,1
0,1,0,0,0,0,0,1,0,0,0,0,0,44,8,1,1.9556,1
1,0,0,1,0,0,0,1,0,0,0,1,0,22,8,1,1.9556,1
0,1,0,0,1,0,0,0,0,0,0,0,0,8,8,1,2.1611,1
0,1,0,0,1,0,0,0,0,1,0,0,0,8,8,0,2.1611,1
0,1,0,0,1,0,0,0,0,0,0,0,0,8,320,0,2.1611,1
0,0,0,1,0,0,0,0,0,0,1,0,0,8,8,2,2.1611,1
0,1,0,0,0,0,1,0,0,0,0,0,0,8,8,0,2.1611,1
0,1,0,0,1,0,0,0,0,0,0,0,0,8,8,0,2.1611,1
